Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Year,Rk
Alisson,BRA,GK,Liverpool,29,1992,27,27,"2,430",27,0.67,0.67,2.7,2.04,75.3,0.74,0.19,0.07,0.59,59.3,0,0,0,0,,2021,1
Alphonse Areola,FRA,GK,West Ham,29,1993,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,,2021,2
Kepa Arrizabalaga,ESP,GK,Chelsea,27,1994,4,4,360,4,0.5,0.5,3.25,2.75,84.6,0.5,0.25,0.25,0.5,50,0,0,0,0,,2021,3
Daniel Bachmann,AUT,GK,Watford,27,1994,11,11,990,11,2.36,2.36,5.55,3.55,62.3,0.09,0,0.91,0,0,0.27,0.27,0,0,0,2021,4
Asmir BegoviÄ‡,BIH,GK,Everton,34,1987,2,2,180,2,1.5,1.5,4.5,3.5,66.7,0.5,0,0.5,0.5,50,0,0,0,0,,2021,5
Jack Butland,ENG,GK,Crystal Palace,29,1993,6,5,495,5.5,1.64,1.64,2.91,1.64,43.8,0.18,0.55,0.18,0,0,0.18,0,0.18,0,100,2021,6
Willy Caballero,ARG,GK,Southampton,40,1981,2,2,180,2,2.5,2.5,5.5,3,54.5,0,0.5,0.5,0,0,0,0,0,0,,2021,7
Karl Darlow,ENG,GK,Newcastle Utd,31,1990,8,8,720,8,1.88,1.87,4.63,3.13,64.9,0,0.63,0.38,0,0,0.25,0.25,0,0,0,2021,8
Martin DÃºbravka,SVK,GK,Newcastle Utd,33,1989,17,17,"1,530",17,1.29,1.29,3.88,2.59,68.2,0.41,0.24,0.35,0.24,23.5,0.06,0.06,0,0,0,2021,9
Ederson,BRA,GK,Manchester City,28,1993,28,28,"2,520",28,0.64,0.64,2.29,1.61,73.4,0.75,0.14,0.11,0.57,57.1,0.04,0.04,0,0,0,2021,10
Åukasz FabiaÅ„ski,POL,GK,West Ham,36,1985,29,29,"2,610",29,1.31,1.31,4.1,2.72,69.7,0.48,0.21,0.31,0.24,24.1,0.1,0.07,0.03,0,33.3,2021,11
Ãlvaro FernÃ¡ndez,ESP,GK,Brentford,23,1998,12,12,"1,080",12,2,2,5.58,3.83,65.7,0.25,0.17,0.58,0.08,8.3,0.08,0.08,0,0,0,2021,12
Fraser Forster,ENG,GK,Southampton,34,1988,12,12,"1,080",12,1.58,1.58,4.5,3.17,68.5,0.42,0.25,0.33,0.17,16.7,0.17,0.17,0,0,0,2021,13
Ben Foster,ENG,GK,Watford,38,1983,18,18,"1,620",18,1.61,1.61,3.83,2.22,58,0.28,0.22,0.5,0.17,16.7,0.06,0,0.06,0,100,2021,14
David de Gea,ESP,GK,Manchester Utd,31,1990,29,29,"2,610",29,1.38,1.38,4.76,3.48,72.5,0.48,0.28,0.24,0.24,24.1,0.17,0.07,0.1,0,60,2021,15
Vicente Guaita,ESP,GK,Crystal Palace,35,1987,24,24,"2,115",23.5,1.23,1.23,4,2.89,72.3,0.26,0.43,0.34,0.34,33.3,0.13,0.13,0,0,0,2021,16
Angus Gunn,ENG,GK,Norwich City,26,1996,7,7,630,7,2.57,2.57,6,3.71,61.9,0.14,0.14,0.71,0.14,14.3,0.57,0.29,0.14,0.14,33.3,2021,17
Wayne Hennessey,WAL,GK,Burnley,35,1987,2,2,180,2,3,3,6.5,3.5,53.8,0,0,1,0,0,0,0,0,0,,2021,18
CaoimhÃ­n Kelleher,IRL,GK,Liverpool,23,1998,2,2,180,2,1,1,4,2.5,75,0.5,0.5,0,0.5,50,0,0,0,0,,2021,19
Kristoffer Klaesson,NOR,GK,Leeds United,21,2000,1,0,36,0.4,0,0,10,10,100,0,0,0,0,,0,0,0,0,,2021,20
