tournament_rank,country,year
1,Dosqaly,2020
2,Nganion,2020
3,Sobianitedrucy,2020
4,Southern Ristan,2020
5,Greri Landmoslands,2020
6,Byasier Pujan,2020
7,Mico,2020
8,People's Land of Maneau,2020
9,Esia,2020
10,Nkasland Cronestan,2020
11,Quewenia,2020
12,Manlisgamncent,2020
13,Xikong,2020
14,Bernepamar,2020
15,Unicorporated Tiagascar,2020
16,Cuandbo,2020
1,Sobianitedrucy,2021
2,People's Land of Maneau,2021
3,Nganion,2021
4,Mico,2021
5,Quewenia,2021
6,Southern Ristan,2021
7,Galamily,2021
8,Bernepamar,2021
9,Dosqaly,2021
10,Giumle Lizeibon,2021
11,Greri Landmoslands,2021
12,Xikong,2021
13,Manlisgamncent,2021
14,Esia,2021
15,Byasier Pujan,2021
16,Djipines,2021
17,Leoneku Guidisia,2021
18,Ledian,2021
19,Eastern Sleboube,2021
20,New Uwi,2021
21,Ngoque Blicri,2021
22,Nkasland Cronestan,2021
23,Eastern Niasland,2021
24,Varijitri Isles,2021
